vin,county,city,state,postal_code,model_year,make,model,electric_vehicle_type,cafv_eligibility,electric_range,base_msrp,legislative_district,dol_vehicle_id,vehicle_location,electric_utility,census_tract
5YJSA1E22K,King,Seattle,WA,98112,2019,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,270,0,43,202233958,POINT (-122.300312 47.629782),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033006500
1N4AZ0CP0F,King,Kent,WA,98031,2015,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,11,114962025,POINT (-122.201564 47.402358),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033029306
5YJSA1H20F,Snohomish,Bothell,WA,98012,2015,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,0,1,232724670,POINT (-122.206146 47.839957),PUGET SOUND ENERGY INC,53061052107
JTMAB3FV1N,Yakima,Yakima,WA,98908,2022,TOYOTA,RAV4 PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,42,0,14,221023589,POINT (-120.611068 46.596645),PACIFICORP,53077000902
5YJ3E1EB6K,King,Redmond,WA,98052,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,0,48,296777442,POINT (-122.1207376 47.6705374),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033022606
5YJ3E1EB0J,Thurston,Yelm,WA,98597,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,2,311913577,POINT (-122.5715761 46.9095798),PUGET SOUND ENERGY INC,53067012422
5YJSA1E21H,King,Redmond,WA,98052,2017,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,210,0,45,241259105,POINT (-122.1207376 47.6705374),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032321
5YJ3E1EA4J,Snohomish,Bothell,WA,98012,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,1,118035830,POINT (-122.206146 47.839957),PUGET SOUND ENERGY INC,53061052009
5YJSA1E22H,Thurston,Olympia,WA,98501,2017,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,210,0,22,105283265,POINT (-122.8733203 47.0133209),PUGET SOUND ENERGY INC,53067010100
1N4AZ0CP1F,Kitsap,Port Orchard,WA,98367,2015,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,35,162186916,POINT (-122.6530052 47.4739066),PUGET SOUND ENERGY INC,53035092901
5YJ3E1EA4L,King,Kent,WA,98030,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,266,0,47,3417746,POINT (-122.1994204 47.3741045),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033029507
3C3CFFGE2F,King,Shoreline,WA,98155,2015,FIAT,500,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,87,0,32,148799822,POINT (-122.301507 47.761784),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033020500
2C4RC1N76L,Thurston,Tumwater,WA,98512,2020,CHRYSLER,PACIFICA,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,32,0,22,123132670,POINT (-122.957046 46.991391),PUGET SOUND ENERGY INC,53067010910
5YJ3E1EA7L,Snohomish,Bothell,WA,98012,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,266,0,21,127118694,POINT (-122.206146 47.839957),PUGET SOUND ENERGY INC,53061051922
1N4BZ0CP8H,King,Bellevue,WA,98007,2017,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,107,0,48,211610367,POINT (-122.1436732 47.6157551),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033023201
5YJYGDEE9L,King,Bothell,WA,98011,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,291,0,1,116957438,POINT (-122.201408 47.754528),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033021905
5YJ3E1EB5K,Kitsap,Poulsbo,WA,98370,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,0,23,144826083,POINT (-122.6368884 47.7469547),PUGET SOUND ENERGY INC,53035091100
5YJ3E1EB0K,Yakima,Yakima,WA,98902,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,0,15,476706555,POINT (-120.530331 46.59534),PACIFICORP,53077001100
WBY8P2C51K,King,Seattle,WA,98112,2019,BMW,I3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,153,0,43,324226689,POINT (-122.300312 47.629782),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033006300
5UXTA6C02N,Kitsap,Bainbridge Island,WA,98110,2022,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,30,0,23,209660433,POINT (-122.5305071 47.6400595),PUGET SOUND ENERGY INC,53035091002
1N4AZ0CP9F,King,Seattle,WA,98115,2015,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,46,139798599,POINT (-122.3008235 47.6862671),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033002000
YV4H60CF8R,Snohomish,Stanwood,WA,98292,2024,VOLVO,XC90,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,32,0,10,258940244,POINT (-122.326873 48.2144825),PUGET SOUND ENERGY INC,53061053202
5YJ3E1EA0L,Snohomish,Bothell,WA,98012,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,266,0,1,2183366,POINT (-122.206146 47.839957),PUGET SOUND ENERGY INC,53061052107
WP0AC2Y15L,King,Seattle,WA,98102,2020,PORSCHE,TAYCAN,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,192,0,43,263047151,POINT (-122.3212726 47.6296532),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033006100
5UXTA6C00M,Thurston,Olympia,WA,98501,2021,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,30,0,22,166391123,POINT (-122.8733203 47.0133209),PUGET SOUND ENERGY INC,53067010700
1N4AZ0CP7E,Kitsap,Bremerton,WA,98311,2014,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,23,198137824,POINT (-122.636245 47.62806),PUGET SOUND ENERGY INC,53035091500
KM8K53AG2L,Kitsap,Port Orchard,WA,98366,2020,HYUNDAI,KONA,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,258,0,26,131203187,POINT (-122.6064912 47.5236145),PUGET SOUND ENERGY INC,53035092300
5YJXCAE22L,Snohomish,Bothell,WA,98021,2020,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,293,0,1,209983889,POINT (-122.2107298 47.7977268),PUGET SOUND ENERGY INC,53061051937
5YJSA1H16F,Snohomish,Lynnwood,WA,98087,2015,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,0,21,5999080,POINT (-122.27336 47.861417),PUGET SOUND ENERGY INC,53061041812
5YJ3E1EB3K,Snohomish,Lynnwood,WA,98087,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,0,21,478641796,POINT (-122.27336 47.861417),PUGET SOUND ENERGY INC,53061041703
3C3CFFGEXF,Thurston,Olympia,WA,98506,2015,FIAT,500,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,87,0,22,350197970,POINT (-122.86491 47.07503),PUGET SOUND ENERGY INC,53067010200
3C3CFFGE7F,Thurston,Olympia,WA,98512,2015,FIAT,500,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,87,0,35,285123072,POINT (-122.957046 46.991391),PUGET SOUND ENERGY INC,53067012730
WBY1Z6C39H,King,Renton,WA,98056,2017,BMW,I3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,81,0,11,144155868,POINT (-122.1819876 47.5098889),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033025401
1G1RB6E4XF,Snohomish,Monroe,WA,98272,2015,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,38,0,39,160637802,POINT (-121.968385 47.854897),PUGET SOUND ENERGY INC,53061052208
5YJSA1E26G,Snohomish,Lake Stevens,WA,98258,2016,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,210,0,44,143610449,POINT (-122.0816912 48.0122934),PUGET SOUND ENERGY INC,53061052505
JTMFB3FV6R,Whitman,Pullman,WA,99163,2024,TOYOTA,RAV4 PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,42,0,9,265023391,POINT (-117.1770648 46.7329687),AVISTA CORP,53075000400
5YJSA1E27K,Yakima,Yakima,WA,98902,2019,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,270,0,15,474882180,POINT (-120.530331 46.59534),PACIFICORP,53077000301
5YJ3E1EB2J,King,Seattle,WA,98134,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,11,224574647,POINT (-122.3290729 47.5773571),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033009300
5YJ3E1EB8J,King,Medina,WA,98039,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,48,166370725,POINT (-122.2363532 47.621118),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033024200
KNDPUCAFXP,Yakima,Yakima,WA,98902,2023,KIA,SPORTAGE,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,34,0,14,220481411,POINT (-120.530331 46.59534),PACIFICORP,53077000500
1N4BZ0CP2H,King,Kent,WA,98042,2017,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,107,0,47,174497767,POINT (-122.1145138 47.3581107),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033031704
5UXTA6C08P,Snohomish,Bothell,WA,98021,2023,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,30,0,1,214796326,POINT (-122.2107298 47.7977268),PUGET SOUND ENERGY INC,53061051926
1N4AZ0CP5D,Thurston,Olympia,WA,98502,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,75,0,22,246351927,POINT (-122.943445 47.059252),PUGET SOUND ENERGY INC,53067010600
5YJSA1E2XJ,Snohomish,Bothell,WA,98012,2018,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,249,0,1,274533472,POINT (-122.206146 47.839957),PUGET SOUND ENERGY INC,53061052010
1N4BZ1CP3K,Yakima,Yakima,WA,98902,2019,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,150,0,14,9074544,POINT (-120.530331 46.59534),PACIFICORP,53077000800
5UXTA6C07M,King,Seattle,WA,98116,2021,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,30,0,34,241528850,POINT (-122.395519 47.572137),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033009702
5YJXCBE24L,Thurston,Olympia,WA,98502,2020,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,293,0,35,6411107,POINT (-122.943445 47.059252),PUGET SOUND ENERGY INC,53067011902
1N4AZ0CP2D,Yakima,Yakima,WA,98903,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,75,0,14,150126840,POINT (-120.5807155 46.5654909),PACIFICORP,53077003003
KNDRMDLH5P,Thurston,Olympia,WA,98501,2023,KIA,SORENTO,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,32,0,35,255390327,POINT (-122.8733203 47.0133209),PUGET SOUND ENERGY INC,53067011721
5UXTA6C0XP,Snohomish,Bothell,WA,98012,2023,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,30,0,44,228271802,POINT (-122.206146 47.839957),PUGET SOUND ENERGY INC,53061052007
5YJ3E1EB2L,Thurston,Olympia,WA,98501,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,322,0,35,128798624,POINT (-122.8733203 47.0133209),PUGET SOUND ENERGY INC,53067011722
2T3YL4DVXE,Thurston,Olympia,WA,98506,2014,TOYOTA,RAV4,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,103,0,22,350029942,POINT (-122.86491 47.07503),PUGET SOUND ENERGY INC,53067012100
5YJ3E1EB8L,King,Seattle,WA,98115,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,322,0,43,126031790,POINT (-122.3008235 47.6862671),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033002600
5YJYGDEE3L,Snohomish,Mukilteo,WA,98275,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,291,0,21,112524030,POINT (-122.29943 47.912654),PUGET SOUND ENERGY INC,53061042005
3C3CFFGE9G,King,Seattle,WA,98118,2016,FIAT,500,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,37,242678908,POINT (-122.2753318 47.5411053),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033010200
1G1RC6S53H,Kitsap,Suquamish,WA,98392,2017,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,53,0,23,132703973,POINT (-122.5591128 47.7346457),PUGET SOUND ENERGY INC,53035940100
JN1AZ0CP8C,Kitsap,Silverdale,WA,98383,2012,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,73,0,23,220447041,POINT (-122.7035285 47.660204),PUGET SOUND ENERGY INC,53035091201
1N4AZ1CP0K,Thurston,Olympia,WA,98516,2019,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,150,0,22,476232410,POINT (-122.78083 47.083975),PUGET SOUND ENERGY INC,53067012225
5YJ3E1EB4K,Yakima,Yakima,WA,98908,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,0,14,339439474,POINT (-120.611068 46.596645),PACIFICORP,53077000401
5YJXCBE21H,Kitsap,Port Orchard,WA,98367,2017,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,200,0,26,172534043,POINT (-122.6530052 47.4739066),PUGET SOUND ENERGY INC,53035092701
1N4AZ1CPXK,Kitsap,Kingston,WA,98346,2019,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,150,0,23,107149388,POINT (-122.5178351 47.7981436),PUGET SOUND ENERGY INC,53035090102
1N4AZ1CP4K,Kitsap,Bremerton,WA,98312,2019,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,150,0,35,477065543,POINT (-122.6961203 47.5759584),PUGET SOUND ENERGY INC,53035092000
5YJ3E1EA7J,King,Seattle,WA,98112,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,43,318326844,POINT (-122.300312 47.629782),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033006200
1N4BZ0CP7H,King,Redmond,WA,98052,2017,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,107,0,48,104846059,POINT (-122.1207376 47.6705374),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033022803
WA1VAAGE8K,Kitsap,Port Orchard,WA,98367,2019,AUDI,E-TRON,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,204,0,26,263134035,POINT (-122.6530052 47.4739066),PUGET SOUND ENERGY INC,53035092704
1G1FW6S05H,Yakima,Yakima,WA,98901,2017,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,0,15,137600732,POINT (-120.4688751 46.6046178),PACIFICORP,53077001602
JN1AZ0CP3B,Walla Walla,Walla Walla,WA,99362,2011,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,73,0,16,136226352,POINT (-118.3377489 46.0625736),PACIFICORP,53071920200
1N4AZ0CP9E,Walla Walla,Walla Walla,WA,99362,2014,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,16,225971658,POINT (-118.3377489 46.0625736),PACIFICORP,53071920901
3C3CFFGE3H,King,Vashon,WA,98070,2017,FIAT,500,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,34,111677037,POINT (-122.466938 47.429244),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033027701
KNDRMDLH3N,Douglas,East Wenatchee,WA,98802,2022,KIA,SORENTO,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,32,0,12,183095818,POINT (-120.2609057 47.4167133),PUD NO 1 OF DOUGLAS COUNTY,53017950500
5YJXCAE21K,Snohomish,Everett,WA,98204,2019,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,289,0,21,260985287,POINT (-122.2507211 47.8976713),PUGET SOUND ENERGY INC,53061041812
5YJYGDEF3L,Snohomish,Woodway,WA,98020,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,291,0,32,111588669,POINT (-122.3757836 47.800042),PUGET SOUND ENERGY INC,53061050600
1G1RB6E42E,Chelan,Wenatchee,WA,98801,2014,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,38,0,12,145810759,POINT (-120.3283376 47.4280056),PUD NO 1 OF CHELAN COUNTY,53007961001
1N4AZ1CP8J,Snohomish,Lynnwood,WA,98087,2018,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,151,0,21,312849638,POINT (-122.27336 47.861417),PUGET SOUND ENERGY INC,53061051804
5YJ3E1EAXJ,Snohomish,Lynnwood,WA,98087,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,21,4986026,POINT (-122.27336 47.861417),PUGET SOUND ENERGY INC,53061051803
1N4BZ1CP9L,Kitsap,Bainbridge Island,WA,98110,2020,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,23,103453059,POINT (-122.5305071 47.6400595),PUGET SOUND ENERGY INC,53035090700
5YJ3E1EA1J,King,Redmond,WA,98053,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,45,474443847,POINT (-122.030684 47.669552),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032333
WBY1Z2C54F,Grant,Moses Lake,WA,98837,2015,BMW,I3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,81,0,13,260665807,POINT (-119.2958738 47.1384772),PUD NO 2 OF GRANT COUNTY,53025011102
5YJ3E1EAXK,Snohomish,Everett,WA,98208,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,0,44,478398959,POINT (-122.2032349 47.8956271),PUGET SOUND ENERGY INC,53061041704
5YJ3E1EA2J,Kitsap,Port Orchard,WA,98366,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,26,280785123,POINT (-122.6064912 47.5236145),PUGET SOUND ENERGY INC,53035092400
1N4AZ0CP5F,Snohomish,Everett,WA,98208,2015,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,44,139779594,POINT (-122.2032349 47.8956271),PUGET SOUND ENERGY INC,53061052119
5YJ3E1EB9L,Snohomish,Lake Stevens,WA,98258,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,322,0,44,9647074,POINT (-122.0816912 48.0122934),PUGET SOUND ENERGY INC,53061052605
JN1AZ0CP9C,Skagit,Bow,WA,98232,2012,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,73,0,40,207825362,POINT (-122.4202542 48.5607175),PUGET SOUND ENERGY INC,53057950801
JHMZC5F34L,Snohomish,Everett,WA,98208,2020,HONDA,CLARITY,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,47,0,44,147062534,POINT (-122.2032349 47.8956271),PUGET SOUND ENERGY INC,53061041607
KNDJX3AEXH,Yakima,Moxee,WA,98936,2017,KIA,SOUL EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,93,32250,15,244989629,POINT (-120.3552229 46.550869),PACIFICORP,53077001702
JN1AZ0CP1B,Stevens,Colville,WA,99114,2011,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,73,0,7,224165630,POINT (-117.885418 48.541035),AVISTA CORP,53065950200
5YJ3E1EA5K,Unknown,Unknown,BC,0,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,0,0,475254825,Unknown,Unknown,0
5YJ3E1EB4L,Yakima,Zillah,WA,98953,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,322,0,15,259188639,POINT (-120.2658133 46.4063477),PACIFICORP,53077002201
1G1RB6S53J,Unknown,Unknown,BC,0,2018,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,53,0,0,477613216,Unknown,Unknown,0
1G1FY6S06L,Yakima,Selah,WA,98942,2020,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,259,0,15,264646266,POINT (-120.5517376 46.6678647),PACIFICORP,53077003200
1G1RD6E41E,Skagit,Mount Vernon,WA,98273,2014,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,38,0,40,229621801,POINT (-122.3313378 48.4221418),PUGET SOUND ENERGY INC,53057952500
WBY8P2C58K,King,Seattle,WA,98144,2019,BMW,I3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,153,0,37,195794273,POINT (-122.3016563 47.5858977),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033009000
5YJXCDE41K,Snohomish,Monroe,WA,98272,2019,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,289,0,39,186035454,POINT (-121.968385 47.854897),PUGET SOUND ENERGY INC,53061052203
KM8JBDD22R,Snohomish,Snohomish,WA,98296,2024,HYUNDAI,TUCSON,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,33,0,1,264389338,POINT (-122.121841 47.841036),PUGET SOUND ENERGY INC,53061052108
1N4BZ1DP2L,Chelan,Entiat,WA,98822,2020,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,12,103315201,POINT (-120.285857 47.724605),PUD NO 1 OF CHELAN COUNTY,53007960100
1N4BZ0CP6G,Thurston,Olympia,WA,98506,2016,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,22,112640342,POINT (-122.86491 47.07503),PUGET SOUND ENERGY INC,53067010200
5YJ3E1EA0K,King,Seattle,WA,98144,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,0,11,185911862,POINT (-122.3016563 47.5858977),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033010002
WBY1Z4C50F,Snohomish,Lynnwood,WA,98037,2015,BMW,I3,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,72,0,21,148359816,POINT (-122.283973 47.838697),PUGET SOUND ENERGY INC,53061051927
5YJ3E1EA9J,Walla Walla,Walla Walla,WA,99362,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,16,295892460,POINT (-118.3377489 46.0625736),PACIFICORP,53071920901
5YJSA1H13E,Snohomish,Bothell,WA,98012,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,21,205087557,POINT (-122.206146 47.839957),PUGET SOUND ENERGY INC,53061051922
5UXTA6C07N,Snohomish,Bothell,WA,98012,2022,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,30,0,1,202204747,POINT (-122.206146 47.839957),PUGET SOUND ENERGY INC,53061051921
WP0AC2Y10M,Snohomish,Woodway,WA,98020,2021,PORSCHE,TAYCAN,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,192,0,32,141946794,POINT (-122.3757836 47.800042),PUGET SOUND ENERGY INC,53061050600
WA1VABGE1K,Skagit,Anacortes,WA,98221,2019,AUDI,E-TRON,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,204,0,40,193900052,POINT (-122.6330168 48.4948674),PUGET SOUND ENERGY INC,53057940403
1N4AZ0CP9D,Snohomish,Snohomish,WA,98290,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,75,0,44,210676777,POINT (-122.0483457 47.9435765),PUGET SOUND ENERGY INC,53061052401
KM8JFDA24P,Whitman,Pullman,WA,99163,2023,HYUNDAI,TUCSON,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,33,0,9,245571448,POINT (-117.1770648 46.7329687),AVISTA CORP,53075000201
KNDCC3LG0K,King,Enumclaw,WA,98022,2019,KIA,NIRO,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,239,0,31,113090449,POINT (-121.984383 47.2119951),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033031301
WA1VABGE3K,Skagit,Bow,WA,98232,2019,AUDI,E-TRON,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,204,0,40,132905125,POINT (-122.4202542 48.5607175),PUGET SOUND ENERGY INC,53057950801
